Hidden Units,Accuracy,TP,TN,FP,FN,Sensitivity,Specificity,F1,ROC_AUC
0,0.881578947368421,0.34210526315789475,0.5394736842105263,0.05263157894736842,0.06578947368421052,0.8387096774193549,0.9111111111111112,0.8524590163934426,0.9182795698924732
6,0.8815789473684211,0.32894736842105265,0.5526315789473685,0.039473684210526314,0.07894736842105263,0.8064516129032258,0.9333333333333333,0.8474576271186439,0.9519713261648746
12,0.9210526315789473,0.35526315789473684,0.5657894736842105,0.02631578947368421,0.05263157894736842,0.8709677419354839,0.9555555555555556,0.9,0.9863799283154122
18,0.9342105263157894,0.3684210526315789,0.5657894736842105,0.02631578947368421,0.039473684210526314,0.9032258064516129,0.9555555555555556,0.9180327868852458,0.9870967741935484
24,0.9736842105263157,0.3815789473684211,0.5921052631578947,0.0,0.02631578947368421,0.9354838709677419,1.0,0.9666666666666666,0.9942652329749104
30,0.9605263157894737,0.3684210526315789,0.5921052631578947,0.0,0.039473684210526314,0.9032258064516129,1.0,0.9491525423728813,0.989247311827957
36,0.9473684210526316,0.3684210526315789,0.5789473684210527,0.013157894736842105,0.039473684210526314,0.9032258064516129,0.9777777777777777,0.9333333333333333,0.9820788530465949
42,0.9605263157894737,0.3684210526315789,0.5921052631578947,0.0,0.039473684210526314,0.9032258064516129,1.0,0.9491525423728813,0.992831541218638
48,0.9473684210526316,0.3684210526315789,0.5789473684210527,0.013157894736842105,0.039473684210526314,0.9032258064516129,0.9777777777777777,0.9333333333333333,0.9835125448028674
54,0.9605263157894737,0.39473684210526316,0.5657894736842105,0.02631578947368421,0.013157894736842105,0.967741935483871,0.9555555555555556,0.9523809523809524,0.9827956989247312
60,0.9342105263157894,0.3684210526315789,0.5657894736842105,0.02631578947368421,0.039473684210526314,0.9032258064516129,0.9555555555555556,0.9180327868852458,0.989247311827957
